"Rank","Player","Team","Bye","POS","MFL","Fantrax","RTSports","FFC","Sleeper","AVG"
"1","Adrian Peterson","","","RB1","1","","","1","","1.0"
"2","Doug Martin","","","RB2","2","","","2","","2.7"
"3","Arian Foster","","","RB3","3","","","4","","3.5"
"4","Jamaal Charles","","","RB4","5","","","3","","4.7"
"5","C.J. Spiller","","","RB5","8","","","5","","5.2"
"6","Marshawn Lynch","","","RB6","4","","","6","","5.3"
"7","Ray Rice","","","RB7","7","","","9","","7.0"
"8","Calvin Johnson","","","WR1","6","","","10","","7.8"
"9","Trent Richardson","","","RB8","11","","","8","","9.7"
"10","LeSean McCoy","","","RB9","12","","","7","","10.3"
"11","Alfred Morris","","","RB10","13","","","11","","12.3"
"12","Drew Brees","","","QB1","10","","","20","","12.5"
"13","Aaron Rodgers","GB","4","QB2","9","","","26","","12.7"
"14","Dez Bryant","","","WR2","15","","","13","","15.2"
"15","Matt Forte","","","RB11","16","","","12","","15.3"
"16","A.J. Green","ARI","9","WR3","14","","","18","","16.0"
"17","Steven Jackson","","","RB12","20","","","14","","17.5"
"18","Chris Johnson","","","RB13","19","","","15","","19.5"
"19","Peyton Manning","","","QB3","17","","","33","","20.2"
"20","Julio Jones","TB","5","WR4","18","","","22","","20.3"
"21","Brandon Marshall","","","WR5","21","","","24","","21.2"
"22","Stevan Ridley","","","RB14","25","","","17","","21.5"
"23","Jimmy Graham","","","TE1","22","","","23","","22.3"
"24","Demaryius Thomas","","","WR6","23","","","27","","23.5"
"25","Maurice Jones-Drew","","","RB15","26","","","19","","24.3"
"26","Frank Gore","","","RB16","30","","","25","","28.3"
"27","Larry Fitzgerald","","","WR7","27","","","29","","28.7"
"28","David Wilson","","","RB17","36","","","16","","29.2"
"29","Andre Johnson","","","WR8","28","","","31","","30.0"
"30","Reggie Bush","","","RB18","29","","","21","","30.7"
"31","Tom Brady","TB","5","QB4","24","","","43","","31.0"
"32","Roddy White","","","WR9","33","","","36","","31.3"
"33","Randall Cobb","GB","4","WR10","31","","","32","","33.0"
"34","DeMarco Murray","","","RB19","37","","","28","","34.3"
"35","Victor Cruz","","","WR11","35","","","37","","36.5"
"36","Cam Newton","","","QB5","32","","","51","","37.0"
"37","Vincent Jackson","","","WR12","38","","","38","","37.5"
"38","Darren McFadden","","","RB20","42","","","39","","39.3"
"39","Matt Ryan","IND","8","QB6","34","","","55","","40.3"
"40","Rob Gronkowski","","","TE2","47","","","45","","41.8"
"41","Marques Colston","","","WR13","41","","","44","","42.8"
"42","Dwayne Bowe","","","WR14","44","","","42","","43.5"
"43","Lamar Miller","","","RB21","50","","","34","","44.2"
"44","Wes Welker","","","WR15","39","","","48","","45.0"
"45","Danny Amendola","","","WR16","46","","","40","","45.2"
"46","Eddie Lacy","","","RB22","45","","","30","","45.3"
"47","Darren Sproles","","","RB23","43","","","35","","47.3"
"48","Reggie Wayne","","","WR17","48","","","47","","49.0"
"49","Jordy Nelson","","","WR18","53","","","52","","54.0"
"50","Vernon Davis","","","TE3","58","","","58","","54.3"
"51","Colin Kaepernick","","","QB7","40","","","63","","55.0"
"52","Jason Witten","","","TE4","56","","","61","","55.0"
"53","Hakeem Nicks","","","WR19","55","","","57","","55.7"
"54","Pierre Garcon","","","WR20","60","","","50","","55.7"
"55","Montee Ball","","","RB24","59","","","53","","56.0"
"56","Eric Decker","","","WR21","57","","","64","","56.2"
"57","Torrey Smith","","","WR22","54","","","54","","56.3"
"58","Ryan Mathews","","","RB25","61","","","49","","58.2"
"59","Tony Gonzalez","","","TE5","64","","","67","","58.2"
"60","Matthew Stafford","LAR","","QB8","49","","","68","","58.8"
"61","Andrew Luck","","","QB9","51","","","72","","60.2"
"62","Antonio Brown","","","WR23","65","","","59","","62.3"
"63","Mike Wallace","","","WR24","63","","","69","","62.7"
"64","Steve Smith","","","WR25","69","","","71","","64.7"
"65","Giovani Bernard","TB","5","RB26","68","","","41","","65.0"
"66","Robert Griffin III","","","QB10","52","","","75","","65.2"
"67","DeSean Jackson","BAL","8","WR26","67","","","60","","65.7"
"68","Ahmad Bradshaw","","","RB27","74","","","56","","66.3"
"69","James Jones","","","WR27","70","","","73","","68.7"
"70","Daryl Richardson","","","RB28","73","","","46","","74.2"
"71","Tony Romo","","","QB11","66","","","82","","75.0"
"72","Cecil Shorts","","","WR28","85","","","79","","75.3"
"73","Rashard Mendenhall","","","RB29","80","","","74","","75.5"
"74","Russell Wilson","DEN","9","QB12","62","","","86","","76.0"
"75","T.Y. Hilton","","","WR29","72","","","65","","76.2"
"76","Tavon Austin","","","WR30","76","","","83","","78.0"
"77","Chris Ivory","","","RB30","75","","","70","","79.3"
"78","Shane Vereen","","","RB31","90","","","66","","80.0"
"79","Anquan Boldin","","","WR31","84","","","85","","81.7"
"80","Le'Veon Bell","","","RB32","77","","","81","","83.3"
"81","Jermichael Finley","","","TE6","78","","","77","","84.0"
"82","Miles Austin","","","WR32","83","","","80","","84.8"
"83","Steve Johnson","","","WR33","86","","","96","","85.2"
"84","Seattle Seahawks","DST","12","DST1","71","","","92","","86.0"
"85","DeAngelo Williams","","","RB33","88","","","62","","86.5"
"86","BenJarvus Green-Ellis","","","RB34","87","","","88","","86.7"
"87","Greg Jennings","","","WR34","81","","","91","","87.0"
"88","Greg Olsen","","","TE7","92","","","103","","87.5"
"89","Mike Williams","","","WR35","95","","","99","","88.0"
"90","Mark Ingram II","NO","7","RB35","93","","","84","","89.3"
"91","San Francisco 49ers","DST","9","DST2","79","","","98","","89.5"
"92","Antonio Gates","","","TE8","100","","","90","","89.7"
"93","Kyle Rudolph","TB","5","TE9","89","","","112","","90.7"
"94","Eli Manning","","","QB13","82","","","111","","97.3"
"95","Ben Tate","","","RB36","98","","","78","","97.8"
"96","Lance Moore","","","WR36","102","","","107","","98.3"
"97","Jared Cook","","","TE10","105","","","95","","98.7"
"98","Kenny Britt","","","WR37","103","","","104","","99.5"
"99","Owen Daniels","","","TE11","101","","","129","","103.0"
"100","Josh Gordon","","","WR38","97","","","89","","103.0"
"101","Houston Texans","DST","8","DST3","94","","","110","","105.2"
"102","Chris Givens","","","WR39","116","","","94","","106.5"
"103","Golden Tate","","","WR40","109","","","93","","107.0"
"104","Chicago Bears","DST","8","DST4","91","","","108","","108.0"
"105","Michael Vick","","","QB14","96","","","101","","108.7"
"106","Sidney Rice","","","WR41","115","","","126","","112.3"
"107","Stephen Gostkowski","","","K1","106","","","144","","117.5"
"108","Bryce Brown","","","RB37","130","","","100","","119.2"
"109","Michael Floyd","","","WR42","128","","","114","","119.3"
"110","Emmanuel Sanders","","","WR43","129","","","120","","119.7"
"111","Cincinnati Bengals","DST","12","DST5","107","","","118","","120.5"
"112","Andy Dalton","NO","7","QB15","99","","","123","","122.7"
"113","Vick Ballard","","","RB38","117","","","124","","122.8"
"114","Kenbrell Thompkins","","","WR44","114","","","76","","123.0"
"115","Jordan Cameron","","","TE12","123","","","87","","124.5"
"116","Denver Broncos","DST","9","DST6","104","","","125","","125.0"
"117","Brandon Myers","","","TE13","144","","","148","","127.5"
"118","DeAndre Hopkins","ARI","9","WR45","118","","","109","","127.7"
"119","Alshon Jeffery","","","WR46","134","","","122","","127.8"
"120","New England Patriots","DST","10","DST7","113","","","128","","128.0"
"121","Andre Brown","","","RB39","108","","","141","","128.7"
"122","Bernard Pierce","","","RB40","132","","","105","","129.5"
"123","Denarius Moore","","","WR47","145","","","152","","129.7"
"124","Matt Bryant","","","K2","121","","","157","","130.5"
"125","Martellus Bennett","","","TE14","139","","","165","","131.0"
"126","Vincent Brown","","","WR48","126","","","119","","131.5"
"127","Ben Roethlisberger","","","QB16","110","","","137","","132.0"
"128","Fred Jackson","","","RB41","135","","","97","","132.2"
"129","Ronnie Hillman","","","RB42","127","","","106","","132.2"
"130","Blair Walsh","","","K3","119","","","155","","132.5"
"131","Justin Blackmon","","","WR49","122","","","115","","133.3"
"132","Brandon Pettigrew","","","TE15","143","","","158","","138.2"
"133","Carson Palmer","","","QB17","138","","","132","","138.3"
"134","Jay Cutler","","","QB18","120","","","131","","138.8"
"135","Matt Prater","ARI","9","K4","131","","","161","","139.8"
"136","Joe Flacco","NYJ","10","QB19","112","","","147","","141.2"
"137","Fred Davis","","","TE16","152","","","151","","142.8"
"138","Pittsburgh Steelers","DST","5","DST8","146","","","160","","143.2"
"139","Phil Dawson","","","K5","141","","","167","","143.3"
"140","Baltimore Ravens","DST","8","DST9","140","","","142","","143.8"
"141","Matt Schaub","","","QB20","125","","","145","","145.0"
"142","Danny Woodhead","","","RB43","149","","","113","","148.5"
"143","Cordarrelle Patterson","ATL","6","RB44","151","","","133","","148.5"
"144","Rueben Randle","","","WR50","174","","","135","","149.3"
"145","Ryan Broyles","","","WR51","171","","","140","","150.2"
"146","Zach Sudfeld","","","TE17","148","","","121","","151.0"
"147","Pierre Thomas","","","RB45","158","","","117","","151.7"
"148","Green Bay Packers","DST","4","DST10","133","","","174","","151.7"
"149","Darrius Heyward-Bey","","","WR52","176","","","138","","152.3"
"150","Sam Bradford","","","QB21","137","","","154","","152.5"
"151","Jacquizz Rodgers","","","RB46","155","","","136","","154.7"
"152","Michael Bush","","","RB47","164","","","130","","156.3"
"153","Isaiah Pead","","","RB48","169","","","170","","157.3"
"154","Philip Rivers","","","QB22","160","","","181","","157.8"
"155","Brian Hartline","","","WR53","172","","","149","","158.7"
"156","Justin Tucker","BAL","8","K6","162","","","192","","159.5"
"157","Knowshon Moreno","","","RB49","168","","","102","","161.7"
"158","Sebastian Janikowski","","","K7","153","","","156","","162.7"
"159","Malcom Floyd","","","WR54","190","","","176","","163.0"
"160","Los Angeles Rams","DST","","DST11","147","","","153","","165.0"
"161","Josh Freeman","","","QB23","150","","","182","","165.0"
"162","Kendall Wright","","","WR55","167","","","178","","168.8"
"163","Shonn Greene","","","RB50","177","","","168","","170.0"
"164","Tyler Eifert","","","TE18","170","","","164","","170.3"
"165","Bilal Powell","","","RB51","187","","","146","","171.3"
"166","Isaac Redman","","","RB52","156","","","127","","149.0"
"167","Jermaine Gresham","","","TE19","157","","","","","151.8"
"168","Alex Smith","","","QB24","161","","","171","","174.8"
"169","Joique Bell","","","RB53","180","","","143","","175.0"
"170","Arizona Cardinals","DST","9","DST12","166","","","173","","177.3"
"171","David Akers","","","K8","178","","","189","","178.8"
"172","Jacoby Jones","","","WR56","204","","","169","","179.3"
"173","Percy Harvin","","","WR57","136","","","139","","161.0"
"174","Roy Helu","","","RB54","196","","","150","","181.8"
"175","Mikel Leshoure","","","RB55","159","","","","","161.8"
"176","Randy Bullock","TEN","8","K9","184","","","190","","183.5"
"177","Jonathan Dwyer","","","RB56","165","","","116","","164.0"
"178","Greg Zuerlein","NYJ","10","K10","163","","","187","","184.2"
"179","Dan Bailey","","","K11","186","","","193","","184.8"
"180","Aaron Dobson","","","WR58","188","","","159","","166.2"
"181","Garrett Hartley","","","K12","179","","","188","","188.0"
"182","Jonathan Stewart","","","RB57","142","","","","","143.3"
"183","Coby Fleener","","","TE20","189","","","","","172.6"
"184","Christine Michael","","","RB58","173","","","134","","173.4"
"185","LaMichael James","","","RB59","191","","","172","","173.6"
"186","E.J. Manuel","","","QB25","182","","","175","","193.0"
"187","Mohamed Sanu Sr.","","","WR59","194","","","162","","175.8"
"188","Daniel Thomas","","","RB60","216","","","179","","193.8"
"189","Tampa Bay Buccaneers","DST","5","DST13","195","","","186","","196.8"
"190","Andre Roberts","CAR","4","WR60","234","","","184","","200.0"
"191","Ryan Tannehill","TEN","8","QB26","175","","","","","185.2"
"192","Dallas Cowboys","DST","11","DST14","181","","","","","186.0"
"193","Mason Crosby","GB","4","K13","201","","","191","","202.3"
"194","Heath Miller","","","TE21","193","","","","","187.2"
"195","Robbie Gould","SF","9","K14","203","","","194","","204.7"
"196","Brent Celek","","","TE22","237","","","","","189.4"
"197","Kendall Hunter","","","RB61","205","","","166","","205.2"
"198","Atlanta Falcons","DST","6","DST15","192","","","","","191.6"
"199","Stephen Hauschka","","","K15","197","","","","","194.8"
"200","Johnathan Franklin","","","RB62","183","","","","","173.0"
"201","Dwayne Allen","","","TE23","231","","","","","195.6"
"202","New York Giants","DST","9","DST16","185","","","","","177.3"
"203","Greg Little","","","WR61","206","","","","","177.5"
"204","Brandon LaFell","","","WR62","199","","","","","180.8"
"205","Santana Moss","","","WR63","220","","","","","204.8"
"206","Danario Alexander","","","WR64","124","","","","","163.0"
"207","Miami Dolphins","DST","6","DST17","223","","","","","212.2"
"208","Adam Vinatieri","","","K16","211","","","","","212.4"
"209","Zac Stacy","","","RB63","210","","","","","197.3"
"210","Josh Brown","","","K17","209","","","","","215.4"
"211","Zach Miller","","","TE24","208","","","","","198.8"
"212","Michael Crabtree","","","WR65","154","","","180","","199.8"
"213","Julius Thomas","","","TE25","202","","","","","200.0"
"214","Cleveland Browns","DST","10","DST18","212","","","185","","218.2"
"215","Rob Housler","","","TE26","239","","","","","206.5"
"216","Marcedes Lewis","GB","4","TE27","265","","","","","207.5"
"217","Santonio Holmes","","","WR66","229","","","","","209.0"
"218","Brandon Weeden","","","QB27","198","","","","","209.3"
"219","Knile Davis","","","RB64","214","","","","","209.5"
"220","Alex Henery","","","K18","235","","","","","211.8"
"221","Joseph Randle","","","RB65","207","","","","","213.3"
"222","Markus Wheaton","","","WR67","226","","","177","","215.0"
"223","Felix Jones","","","RB66","246","","","163","","217.3"
"224","Mike Tolbert","","","RB67","254","","","","","224.0"
"225","Julian Edelman","","","WR68","241","","","183","","224.5"
"226","Marcel Reece","","","RB68","250","","","","","227.5"
"227","Rod Streater","","","WR69","267","","","","","228.8"
"228","Kai Forbath","LAR","","K19","221","","","","","228.8"
"229","Robert Turbin","","","RB69","233","","","","","229.3"
"230","Detroit Lions","DST","9","DST19","213","","","","","211.3"
"231","Minnesota Vikings","DST","5","DST20","200","","","","","211.7"
"232","Nate Burleson","","","WR70","276","","","","","232.0"
"233","Robert Woods","TEN","8","WR71","222","","","","","232.0"
"234","Mike Nugent","","","K20","240","","","","","233.3"
"235","Toby Gerhart","","","RB70","247","","","","","234.3"
"236","Los Angeles Chargers","DST","","DST21","219","","","","","219.0"
"237","DuJuan Harris","","","RB71","243","","","","","258.3"
"238","Jake Locker","","","QB28","215","","","","","221.7"
"239","Stephen Hill","","","WR72","274","","","","","222.0"
"240","Christian Ponder","","","QB29","218","","","","","223.3"
"241","New York Jets","DST","10","DST22","252","","","","","224.0"
"242","Ed Dickson","","","TE28","238","","","","","239.3"
"243","Dennis Pitta","","","TE29","111","","","","","195.5"
"244","Donnie Avery","","","WR73","272","","","","","225.7"
"245","Kenny Stills","","","WR74","227","","","","","229.3"
"246","Jacoby Ford","","","WR75","","","","","","257.0"
"247","Brian Quick","","","WR76","278","","","","","239.0"
"248","Washington Commanders","DST","5","DST23","217","","","","","235.0"
"249","Jake Ballard","","","TE30","","","","","","293.5"
"250","Jon Baldwin","","","WR77","283","","","","","246.3"
"251","LeGarrette Blount","","","RB72","258","","","","","250.3"
"252","Jacob Tamme","","","TE31","273","","","","","239.7"
"253","Kansas City Chiefs","DST","10","DST24","244","","","","","251.0"
"254","Philadelphia Eagles","DST","12","DST25","268","","","","","241.3"
"255","Denard Robinson","","","RB73","251","","","","","255.0"
"256","Carolina Panthers","DST","4","DST26","224","","","","","246.7"
"257","Nate Washington","","","WR78","270","","","","","246.7"
"258","A.J. Jenkins","","","WR79","","","","","","254.5"
"259","Dexter McCluster","","","RB74","281","","","","","249.0"
"260","Ryan Williams","","","RB75","232","","","","","249.7"
"261","Dustin Keller","","","TE32","","","","","","248.0"
"262","Quinton Patton","","","WR80","269","","","","","252.0"
"263","Indianapolis Colts","DST","8","DST27","248","","","","","237.0"
"264","Jeff Cumberland","","","TE33","","","","","","191.0"
"265","Riley Cooper","","","WR81","255","","","","","253.0"
"266","Jeremy Kerley","","","WR82","282","","","","","253.7"
"267","Tony Scheffler","","","TE34","","","","","","268.5"
"268","Zach Ertz","ARI","9","TE35","249","","","","","254.7"
"269","Tennessee Titans","DST","8","DST28","259","","","","","241.0"
"270","New Orleans Saints","DST","7","DST29","228","","","","","241.5"
"271","Rob Bironas","","","K21","261","","","","","245.0"
"272","Brandon Lloyd","","","WR83","","","","","","245.0"
"273","Rashad Jennings","","","RB76","275","","","","","258.0"
"274","Shaun Suisham","","","K22","260","","","","","245.5"
"275","LaRod Stephens-Howling","","","RB77","","","","","","248.0"
"276","Keenan Allen","LAC","","WR84","253","","","","","262.3"
"277","Scott Chandler","","","TE36","","","","","","252.5"
"278","Stepfan Taylor","","","RB78","257","","","","","263.0"
"279","Terrelle Pryor Sr.","","","WR85","256","","","","","254.0"
"280","Michael Turner","","","RB79","","","","","","225.0"
"281","Geno Smith","SEA","12","QB30","236","","","","","254.5"
"282","Marcus Lattimore","","","RB80","225","","","","","278.5"
"283","Caleb Sturgis","","","K23","245","","","","","255.5"
"284","Ryan Succop","TB","5","K24","266","","","","","256.0"
"285","James Casey","","","TE37","","","","","","275.0"
"286","Buffalo Bills","DST","12","DST30","230","","","","","260.0"
"287","Andrew Hawkins","","","WR86","","","","","","290.5"
"288","Anthony Fasano","","","TE38","","","","","","264.5"
"289","Shayne Graham","","","K25","263","","","","","259.5"
"290","Lance Dunbar","","","RB81","262","","","","","267.7"
"291","Tony Moeaki","","","TE39","","","","","","236.0"
"292","Mike Goodson","","","RB82","","","","","","260.0"
"293","Delanie Walker","","","TE40","","","","","","262.5"
"294","Lawrence Tynes","","","K26","242","","","","","272.0"
"295","Mario Manningham","","","WR87","","","","","","307.0"
"296","Benjamin Watson","","","TE41","","","","","","273.5"
"297","Earl Bennett","","","WR88","","","","","","319.0"
"298","Joel Dreessen","","","TE42","","","","","","298.5"
"299","Brandon Gibson","","","WR89","","","","","","274.5"
"300","Terrance Williams","","","WR90","","","","","","285.0"
"301","Justin Hunter","","","WR91","264","","","","","292.0"
"302","Josh Morgan","","","WR92","","","","","","326.0"
"303","Davone Bess","","","WR93","","","","","","284.5"
"304","Jeremy Maclin","","","WR94","","","","","","269.0"
"305","Kirk Cousins","MIN","5","QB31","271","","","","","277.5"
"306","Dallas Clark","","","TE43","","","","","","272.0"
"307","Willis McGahee","","","RB83","","","","","","274.0"
"308","Leonard Hankerson","","","WR95","","","","","","281.5"
"309","Nick Toon","","","WR96","","","","","","301.0"
"310","Graham Gano","NYG","9","K27","","","","","","276.0"
"311","Blaine Gabbert","TB","5","QB32","277","","","","","290.5"
"312","Justin Forsett","","","RB84","","","","","","281.0"
"313","Jason Avant","","","WR97","","","","","","289.0"
"314","Nick Foles","IND","8","QB33","279","","","","","292.5"
"315","Matt Flynn","","","QB34","280","","","","","282.5"
"316","Doug Baldwin","","","WR98","","","","","","314.0"
"317","Jason Hanson","","","K28","","","","","","283.0"
"318","Jay Feely","","","K29","","","","","","287.0"
"319","Aaron Hernandez","","","TE44","","","","","","288.0"
"320","Nick Novak","","","K30","","","","","","291.0"
"321","Rian Lindell","","","K31","","","","","","292.0"
"322","Tommie Campbell","","","CB1","","","","","","293.0"
"323","Kenjon Barner","","","RB85","","","","","","294.0"
"324","Austin Collie","","","WR99","","","","","","296.0"
"325","Josh Scobee","","","K32","","","","","","298.0"
"326","Mike James","","","RB86","","","","","","305.0"
"327","Donald Brown","","","RB87","","","","","","307.0"
"328","Peyton Hillis","","","RB88","","","","","","310.0"
"329","Travis Kelce","KC","10","TE45","","","","","","311.0"
"330","Dustin Hopkins","LAC","","K33","","","","","","312.0"
"331","Las Vegas Raiders","DST","","DST31","","","","","","313.0"
"332","Brian Leonard","","","RB89","","","","","","314.0"
"333","James Starks","","","RB90","","","","","","316.0"
"334","Jermaine Kearse","","","WR100","","","","","","317.0"
"335","Mike Gillislee","","","RB91","","","","","","318.0"
"336","Nick Folk","NE","10","K34","","","","","","319.0"
"337","Andre Ellington","","","RB92","","","","","","322.0"
"338","Tim Tebow","","","TE46","","","","","","323.0"
"339","Ryan Mallett","","","QB35","","","","","","324.0"
"340","Ryan Fitzpatrick","","","QB36","","","","","","325.0"
"341","Phillip Tanner","","","RB93","","","","","","326.0"
"342","Kellen Winslow","","","TE47","","","","","","328.0"
"343","Donovan McNabb","","","QB37","","","","","","329.0"
"344","Jarius Wright","","","WR101","","","","","","330.0"
"345","Patrick Edwards","DET","9","WR102","","","","","","331.0"
"346","Tom Crabtree","","","TE48","","","","","","333.0"
"347","Brandon Stokley","","","WR103","","","","","","334.0"
"348","Marlon Brown","","","WR104","","","","","","335.0"
"349","Brandon Bolden","LV","","RB94","","","","","","337.0"
"350","Michael Hoomanawanui","","","TE49","","","","","","338.0"
"351","Randy Moss","","","WR105","","","","","","339.0"
"352","Jacksonville Jaguars","DST","9","DST32","","","","","","340.0"
"353","Josh Boyce","","","WR106","","","","","","341.0"
"354","Ted Ginn Jr.","","","WR107","","","","","","342.0"
"355","Chris Beanie Wells","","","RB95","","","","","","344.0"
"356","John Kuhn","","","RB96","","","","","","345.0"
"357","Jordan Todman","","","RB97","","","","","","348.0"
"358","Tashard Choice","","","RB98","","","","","","350.0"
"359","Dwayne Harris","","","WR108","","","","","","351.0"
"360","Mark Sanchez","","","QB38","","","","","","352.0"
"361","Chad Henne","KC","10","QB39","","","","","","353.0"
"362","Chris Givens","","","WR109","","","","","","354.0"
"363","Marquise Goodwin","SEA","12","WR110","","","","","","355.0"
"364","Trevor Graham","","","WR111","","","","","","356.0"
"365","Chris Polk","","","RB99","","","","","","357.0"
"366","Lestar Jean","","","WR112","","","","","","358.0"
"367","Connor Barth","","","K35","","","","","","359.0"
"368","Ronnie Brown","","","RB100","","","","","","360.0"
"369","Jerome Simpson","","","WR113","","","","","","361.0"
"370","Matt Cassel","","","QB40","","","","","","362.0"
"371","Da'Rel Scott","","","RB101","","","","","","363.0"
"372","John Kasay","","","K36","","","","","","364.0"
"373","Cierre Wood","","","RB102","","","","","","365.0"
"374","Ace Sanders","","","WR114","","","","","","366.0"
"375","Harry Douglas","","","WR115","","","","","","367.0"
"376","Lance Kendricks","","","TE50","","","","","","368.0"
"377","Colt McCoy","ARI","9","QB41","","","","","","370.0"
"378","Kevin Boss","","","TE51","","","","","","371.0"
"379","Travis Benjamin","","","WR116","","","","","","373.0"
"380","Joe Webb III","","","QB42","","","","","","374.0"
"381","Ryan Longwell","","","K37","","","","","","375.0"
"382","Stephen Williams","","","WR117","","","","","","376.0"
"383","Luke Willson","","","TE52","","","","","","377.0"
"384","Tyler Wilson","","","QB43","","","","","","378.0"
"385","Devin Hester","","","WR118","","","","","","379.0"
"386","Aldrick Robinson","","","WR119","","","","","","380.0"
"387","Terrell Owens","","","WR120","","","","","","381.0"
"388","Joe McKnight","","","RB103","","","","","","382.0"
"389","Kyle Adams","","","TE53","","","","","","383.0"
"390","Latavius Murray","DEN","9","RB104","","","","","","384.0"
"391","Joe Adams","","","WR121","","","","","","385.0"
"392","Dan Carpenter","","","K38","","","","","","386.0"
"393","Austin Pettis","","","WR122","","","","","","388.0"
"394","Jarrett Boykin","","","WR123","","","","","","389.0"
"395","Cedric Benson","","","RB105","","","","","","391.0"
"396","Mychal Rivera","","","TE54","","","","","","392.0"
"397","Shaun Hill","","","QB44","","","","","","394.0"
"398","Jeff Tuel","","","QB45","","","","","","395.0"
"399","Vance McDonald","","","TE55","","","","","","396.0"
"400","Vince Young","","","QB46","","","","","","397.0"
"401","Jackie Battle","","","RB106","","","","","","398.0"
"402","Evan Royster","","","RB107","","","","","","399.0"
"403","Todd Bouman","","","QB47","","","","","","400.0"
"404","Mark Brunell","","","QB48","","","","","","401.0"
"405","Charlie Batch","","","QB49","","","","","","402.0"
"406","Patrick Cobbs","","","RB108","","","","","","403.0"
"407","Jake Delhomme","","","QB50","","","","","","404.0"
"408","Jeremy Shockey","","","TE56","","","","","","405.0"
"409","Jon Kitna","","","QB51","","","","","","406.0"
"410","Daunte Culpepper","","","QB52","","","","","","407.0"
"411","David Buehler","","","K39","","","","","","408.0"
"412","Javarris James","","","RB109","","","","","","409.0"
"413","Anthony Gonzalez","","","WR124","","","","","","410.0"
"414","Derek Anderson","","","QB53","","","","","","411.0"
"415","Lee Smith","","","TE57","","","","","","412.0"
"416","Sam Aiken","","","WR125","","","","","","413.0"
"417","Kevin Smith","","","RB110","","","","","","417.0"
"418","Damaris Johnson","","","WR126","","","","","","418.0"
"419","Seyi Ajirotutu","","","WR127","","","","","","419.0"
"420","Theo Riddick","","","RB111","","","","","","420.0"
"421","Matt Leinart","","","QB54","","","","","","421.0"
"422","Brodie Croyle","","","QB55","","","","","","422.0"
"423","Brian Brohm","BUF","12","QB56","","","","","","423.0"
"424","Michael Ford","","","RB112","","","","","","424.0"
"425","Joseph Addai","","","RB113","","","","","","425.0"
"426","Charles Clay","","","TE58","","","","","","426.0"
"427","Jeff Demps","","","RB114","","","","","","427.0"
"428","Aaron Brown","","","RB115","","","","","","428.0"
"429","Khiry Robinson","","","RB116","","","","","","429.0"
"430","Brock Bolen","","","RB117","","","","","","430.0"
"431","Lance Ball","","","RB118","","","","","","431.0"
"432","John Carlson","","","TE59","","","","","","433.0"
"433","Levi Brown","","","QB57","","","","","","434.0"
"434","Kevin Brock","","","TE60","","","","","","435.0"
"435","Matt Hasselbeck","","","QB58","","","","","","436.0"
"436","Luke Stocker","","","TE61","","","","","","437.0"
"437","Craig Stevens","","","TE62","","","","","","438.0"
"438","Louis Murphy","","","WR128","","","","","","440.0"
"439","Reginald Kelly","","","TE63","","","","","","441.0"
"440","Marlon Moore","","","WR129","","","","","","442.0"
"441","Billy Cundiff","","","K40","","","","","","444.0"
"442","Tim Hightower","","","RB119","","","","","","445.0"
"443","Cedric Peerman","","","RB120","","","","","","446.0"
"444","Kyle Williams","","","WR130","","","","","","447.0"
"445","Robert Meachem","","","WR131","","","","","","448.0"
"446","Kevin Ogletree","","","WR132","","","","","","449.0"
"447","Montario Hardesty","","","RB121","","","","","","451.0"
"448","","","","1","","","","","","452.0"
"449","Jeff Maehl","","","WR133","","","","","","453.0"
"450","Braylon Edwards","","","WR134","","","","","","454.0"
"451","Quintin Mikell","","","S1","","","","","","455.0"
"452","Michael Koenen","","","P1","","","","","","456.0"
"453","Ladarius Green","","","TE64","","","","","","457.0"
"454","Stedman Bailey","","","WR135","","","","","","458.0"
"455","Kevin Kolb","","","QB59","","","","","","459.0"
"456","B.J. Coleman","","","QB60","","","","","","460.0"
"457","Drew Stanton","","","QB61","","","","","","461.0"
"458","Michael Egnew","","","TE65","","","","","","462.0"
"459","Delone Carter","","","RB122","","","","","","463.0"
"460","Javon Ringer","","","RB123","","","","","","464.0"
"461","Bruce Gradkowski","","","QB62","","","","","","465.0"
"462","Kerwynn Williams","","","RB124","","","","","","466.0"
"463","Leon Washington","","","RB125","","","","","","467.0"
"464","Dominique Davis","","","QB63","","","","","","468.0"
"465","Alfonso Smith","","","RB126","","","","","","469.0"
"466","Graham Harrell","","","QB64","","","","","","470.0"
"467","Anthony Dixon","","","RB127","","","","","","471.0"
"468","Chase Coffman","","","TE66","","","","","","472.0"
"469","Justice Cunningham","","","TE67","","","","","","473.0"
"470","Alex Green","","","RB128","","","","","","474.0"
"471","Mike Glennon","","","QB65","","","","","","475.0"
"472","Eddie Royal","","","WR136","","","","","","476.0"
"473","Le'Ron McClain","","","RB129","","","","","","477.0"
"474","Chris Thompson","","","RB130","","","","","","478.0"
"475","Bernard Scott","","","RB131","","","","","","479.0"
"476","Marvin Jones Jr.","JAC","9","WR137","","","","","","480.0"
"477","Matt Moore","","","QB66","","","","","","481.0"
"478","Fozzy Whittaker","","","RB132","","","","","","482.0"
"479","Jerricho Cotchery","","","WR138","","","","","","483.0"
"480","Domenik Hixon","","","WR139","","","","","","484.0"
""
""